* Freq(Hz), SPL(dB), Phase(degrees)
261.294, -4.850, 9.348
261.661, -4.848, 9.345
262.027, -4.847, 9.342
262.393, -4.845, 9.339
262.759, -4.843, 9.336
263.126, -4.842, 9.333
263.492, -4.840, 9.330
263.858, -4.839, 9.327
264.224, -4.837, 9.325
264.590, -4.835, 9.322
264.957, -4.834, 9.319
265.323, -4.832, 9.315
265.689, -4.831, 9.312
266.055, -4.829, 9.309
266.421, -4.827, 9.306
266.788, -4.826, 9.304
267.154, -4.824, 9.301
267.520, -4.823, 9.298
267.886, -4.821, 9.294
268.253, -4.819, 9.291
268.619, -4.818, 9.288
268.985, -4.816, 9.285
269.351, -4.815, 9.282
269.717, -4.813, 9.279
270.084, -4.812, 9.276
270.450, -4.810, 9.273
270.816, -4.809, 9.270
271.182, -4.807, 9.267
271.548, -4.806, 9.264
271.915, -4.804, 9.261
272.281, -4.803, 9.258
272.647, -4.801, 9.254
273.013, -4.799, 9.251
273.380, -4.798, 9.248
273.746, -4.796, 9.245
274.112, -4.795, 9.242
274.478, -4.793, 9.239
274.844, -4.792, 9.236
275.211, -4.790, 9.233
275.577, -4.789, 9.230
275.943, -4.787, 9.227
276.309, -4.786, 9.224
276.676, -4.784, 9.220
277.042, -4.783, 9.217
277.408, -4.781, 9.214
277.774, -4.780, 9.211
278.140, -4.779, 9.208
278.507, -4.777, 9.205
278.873, -4.776, 9.202
279.239, -4.774, 9.199
279.605, -4.773, 9.196
279.971, -4.771, 9.193
280.338, -4.770, 9.190
280.704, -4.768, 9.186
281.070, -4.767, 9.183
281.436, -4.765, 9.180
281.803, -4.764, 9.177
282.169, -4.763, 9.174
282.535, -4.761, 9.171
282.901, -4.760, 9.167
283.267, -4.758, 9.164
283.634, -4.757, 9.161
284.000, -4.755, 9.158
284.366, -4.754, 9.155
284.732, -4.752, 9.151
285.098, -4.751, 9.148
285.465, -4.750, 9.145
285.831, -4.748, 9.142
286.197, -4.747, 9.139
286.563, -4.745, 9.136
286.930, -4.744, 9.132
287.296, -4.743, 9.129
287.662, -4.741, 9.126
288.028, -4.740, 9.123
288.394, -4.738, 9.120
288.761, -4.737, 9.116
289.127, -4.736, 9.113
289.493, -4.734, 9.110
289.859, -4.733, 9.107
290.225, -4.732, 9.103
290.592, -4.730, 9.100
290.958, -4.729, 9.097
291.324, -4.728, 9.094
291.690, -4.726, 9.091
292.057, -4.725, 9.088
292.423, -4.723, 9.084
292.789, -4.722, 9.081
293.155, -4.721, 9.078
293.521, -4.720, 9.075
293.888, -4.718, 9.072
294.254, -4.717, 9.069
294.620, -4.715, 9.065
294.986, -4.714, 9.062
295.352, -4.713, 9.058
295.719, -4.712, 9.055
296.085, -4.710, 9.053
296.451, -4.709, 9.050
296.817, -4.708, 9.046
297.184, -4.706, 9.042
297.550, -4.705, 9.039
297.916, -4.704, 9.036
298.282, -4.703, 9.034
298.648, -4.701, 9.033
299.015, -4.700, 9.030
